text,label
is a covid 19 vaccinated pepole will die in the next five years beacuse of the vaccine it self?,0
Is the vaccine true that Pfizer had multiple scandals in the past?,0
How many people have died from the mRNA vaccine in the USA?,0
"Sorry I didn't get that. You said that, if I'm vaccinated I can't get COVID-19, why is it still possible to infect other people?",0
Are the elderly still dying from covid if vaccinated?,0
will the vaccine change my DNA,0
Will I become magnetic after a vaccine,0
Is the vaccine a Killing mass at least?,0
But I heard that I can get bad symptoms from the vaccine and get sick?,0
I know people planning to have children who won't get vaccinated because of their concerns about its impact on their fertility and dna.  I don't hear much to combat this widespread rumor.,0
will The COVID-19 vaccine will alter my DNA.,0
Side effect of the pfizer vaccine - more frequent migraine headaches?,0
"I don't want to get the vaccine, why should I?",0
Does the vaccine cause heart attack?,0
What ar the long term side effects of the vaccine,0
I'm afraid to get the vaccine,0
J&J is made from embryos,0
What are the most serious side effects found in the vaccine trials,0
How many fatal adverse reactions to the vaccines?,0
can i get sick from the vaccine,0
What are the potential neurological side effects of the vaccine?,0
Why do I experience side effects from the vaccine?,0
The pfizer vaccine raised by NT-pro-BNP levels.  My chest is in pain.  I am reporting an adverse event.  no one will help me.  what can i do?,0
What are the long term affects,0
Can I hold the vaccine makers responsible if I experience death side effects,0
Is it true that COVID-19 was caused by PERSON laptop?,0
Why is the covid vaccine given despite the lack of FDA approval,0
How many adverse reactions from COVID-19 vaccine,0
Can the vaccine make me infertile?,0
"there have been m ore than 113 deaths from the covid vaccines, why are you lying about that",0
Yrah right noone can tell the side effects and that is bills business,0
does Pfizer cause ovarian cancer,0
will I get a microchip?,0
Eyes pain after AstraZeneca,0
Has there been myocarditis linked to covid vaccines,0
Will the vaccine make me blue?,0
What are side effects of the vaccine,0
why are healthcare professionals not getting the covid vaccine,0
Does the vaccine enlarge my tongue?,0
isn't the vaccine dangerous,0
could getting the vaccine kill me,0
what are the serious side effects of the vaccine,0
What are common side effects of the vaccine,0
Has the vaccine been adequately tested?,0
How do we know the vaccine doesn't cause infertility,0
does the vaccine make me infertile?,0
Will the vaccine give me coronavirus?,0
Is the COVID-19 vaccine dangerous?,0
What are the side effects of the Covid vaccine?,0
Why are vaccinated women 83% more likely to have a miscarriage?,0
I'm scared to take the vaccine,0
will the vaccine change my dna?,0
"Why is the creator of the mRNA technique warning us against the so-called covid ""vaccine"" ?",0
I think you are lying. People have died from heart attacks after getting the vaccine.,0
covid vaccines cause spike proteins to circulate in the blood stream,0
what about PERSON demages,0
Is this a leaky vaccine?,0
What are the side effects of the vaccine for teens?,0
Can you tell me about Covid 19 vaccine and those suffering with Demylenating disease?,0
why vaccinated people are getting sick again,0
the vaccine is a hoax,0
Does the jab have mind control in the vaccine,0
what are conditions that would allow for medical exemption from vaccination?,0
I'm scared of getting the vaccine,0
Isn't it true that the vaccines could have unknown side effects which will not manifest for years,0
If I have an immune system why do I need the vaccine,0
can the vaccines kill?,0
does the vaccine have microchips,0
I'm concerned about the safety of the vaccine for my children,0
"My friend died after thanking the vaccine, should I still take the vaccine?",0
How many boys are having heart problems with the vaccine,0
does the vaccine have metal in it?,0
Has anyone died from COVID vaccine?,0
can i get covid from the vaccine,0
what do i do if i am injured by a covid vaccine,0
What are the potential severe side effects of the Covid vaccine,0
can i become impotent because of the vaccine,0
does the vaccine cause autism lol,0
Does the vaccine contain fetal cells,0
Does the Covid 19 Vaccine cause inflammation in the blood?,0
Does the vaccine put a tracker in my arm,0
side effects for teens,0
Does the vaccination effect my ability to have children?,0
how many people have died from the covid vaccine,0
Will the vaccine give me blood clots?,0
Why is moderna vaccine ingredient list intentionally left blank?,0
Are the vaccines cytotoxic,0
Why have i become paralyzed after taking a covid-19  vaccine?,0
what are the risks to be vaccinated ?,0
Will the vaccine cause autism?,0
Is the vaccination safe?,0
What are the cardiology related risks for children who receive the vaccine?,0
can the vaccines make me sterile?,0
Are covid vaccines harmful?,0
do people lose eggs once vaccinated?,0
does the vaccine have a microchip?,0
How many peolle have died from the vaccine?,0
were aborted fetuses used in the development of moderna vaccine?,0
What are side effects and risks of getting the vaccine?,0
Are people dying from the vaccine?,0
The covid vaccine is not fda approved,0
How many people have died from having the vaccine,0
why no autopsy after a person died a few days after vaccination,0
how many people have died from the vaccine in the USA,0
Is vaccine bioweapon?,0
will the vaccine affect fertility,0
What are the side effects of vaccines for kids,0
Moderns vaccine deaths,0
will the vaccine impact my baby in the future?,0
How many deaths from Covid vaccines in US by brand?,0
Does the moderna vaccine cause neuropathy?,0
Could vaccines have long-term health impacts?,0
How many people died due to vaccine adverse events?,0
I head that one of the symptoms is blood clotting. Is the vaccine true?,0
"I'm healthy, why do I need a vaccine?",0
What are the heart issues with the vaccine?,0
does the vaccine contain aborted fetal cells,0
Will I die if I get the covid vaccine?,0
Vaccine and deaths,0
Did the vaccines pass animal trials,0
vaccine death charts by country,0
Is it right to try to convince others to get the vaccine??,0
My daughter is 28 years old. She does not know if she is pregnant; if she is she is planning to keep it. What are the risks of getting the COVID 19 vaccine?,0
Could the vaccine later be found to affect fertility,0
Will the vaccine change my dna,0
Does the vaccine have a 5G chip in it?,0
can the vaccine make me pregnant?,0
Will the vaccine transform me into a teeny lizard man,0
Does the vaccine alter your natural immunity?,0
How do i know the vaccine wont effect me long term?,0
The vaccine does not have full approval from the FDA,0
I don't trust the vaccine. They made it too quickly,0
How many people have died since receiving vaccine,0
How many have died taking vaccine,0
How can I be sure I won't have side effects 10 years from now?,0
Why did the vaccine cause my miscarriage?,0
What are the side effects of covid vaccines,0
how do we know which effects it will have in time range of 10 years?,0
What are the blood clot rates for vaccines,0
Is Pfizer going to change my DNA,0
"Worldwide, what percentage of covid vaccinated persons die as the result of vaccine side-effects?",0
Does Covid 19 vaccine make me gay?,0
I don't want to get the vaccine,0
Will the vaccine hurt me?,0
Are vaccines dangerous,0
I read online that the vaccine is dangerous.,0
How many people have died because they received a Covid-19 vaccine?,0
will i be blind from the vaccine,0
What Are the proven side effects of MRNA vaccines,0
How many vaccinated people have died,0
Why are keys sticking to my vaccinated parents  forehead,0
where to find the latest statistics about deaths caused for covid vaccines,0
Are the booster shots dangerous?,0
Risk of heart inflammation with Covid vaccination in teens,0
"just because people GOT the shot, it doesn't mean they're safe",0
Isn't the vaccine experimental?,0
What side effects does the vaccine have?,0
How and why is science claiming the vaccine is safe when it has only been approved for emergency use by the FDA?,0
does the vaccine cause autism?,0
can i get a swollen heart from a vaxxie,0
Why are vaccinated people hospitalized at a higher rate for delta variant than unvaccinated people?,0
Why are so many women reporting heart palpitations  for several weeks after getting the covid vaccine,0
What are the side effect?,0
My side effect was like I was having an MS relapse.,0
What are the side effects of mRNA vaccines?,0
pfizer side effects,0
Will they put a microchip in me?,0
How many people have died as a result of getting one of the Covid-19 vaccines?,0
People die getting the vaccine,0
"How many people died consecutively to a covid ""vaccine"" injection ?",0
Why should I take a vaccine?,0
Why are teens developing myocarditis after the vaccine?,0
Does the vaccine have carbon nanotubes?,0
Does the vaccine cause anaphylaxis?,0
why was the vaccine developed so fast,0
Is the vaccine true that there are death,0
Why are so many more people dying from covid vaccines than other vaccines,0
I'm concerned about covid vaccines.,0
But I think that I have a lower than 1% mortality rate. Why should I get the vaccine?,0
How many miscarriages have occurred due to administering the covid vaccine,0
Is the vaccine hurting people?,0
Does PERSON contain fetal cells,0
what is the incidence of myocarditis after second COVID vaccine in males age 1-30?,0
"if i die, who can my family sue?",0
vaccination causes  blood clot,0
How many people did the vaccine kill?,0
Does the vacine make me magnetic?,0
Does the vaccine implant chips,0
What are long term side effects,0
Why is the government letting the vaccine companies get away with murder?,0
Is there a computer chip in vaccine,0
what about my firends who were vaccinated but still got covid?,0
The COVID vaccines are experimental,0
how many people have died from the vaccine,0
will the vaccine hurt my heart?,0
How many people have had problems with the vaccine?,0
do covid-19 vaccines contain graphene oxide?,0
Extreme adverse effects of vaccines,0
Can the vaccine make me sick,0
the vaccine is bad,0
Do people die?,0
Why are so many people dying following the covid vaccines,0
Deaths due to vaccination?,0
Hi chatbot! What are the known long-term side effects of the COVID-19 vaccines?,0
"Over 5000 veers deaths so far, how many to call it a failure?",0
vaccines hurt,0
how can i trust the millions that didnt look into it and no one knowing the long term effects??,0
will the vaccine make me infertile,0
I am concerned of side effects,0
Does the covid 19 vaccine cause Myocarditis?,0
Can a person die from the vaccine?,0
Do the vaccines cause infertility?,0
What problems do kids have with the vaccine,0
If I have already had Covid why do I need the vaccine?,0
Why should i take the vaccine when i have a 99.997% chance of survival?,0
Does the vaccine cause neurological problems,0
Can I sue pfizer if I have a negative reaction,0
Is PERSON wrong about vaccinations causing mutations?,0
Does vaccination cause allergies?,0
Has anyone died from the covid vaccine?,0
do vaccines cause hear problems?,0
Does Pfizer vaccine cause pregnant women to spontaneously abort their babies?,0
How many deaths have happened due to this vaccine,0
Are there any long term risks with Pfizer?,0
Why should I get an experimental vaccine if I am young fit and healthy ?,0
Are you sure the vaccine will not kill me?,0
It's vaccine deadly?,0
What is the vaccine death rate,0
I'd rather have my immune system do the work in protecting me from COvID,0
What are the severe effects of moderna?,0
whos liable if i am injured from the vaccine,0
will the vaccine affect my nerves,0
can the vaccine give me AIDs?,0
Is Dr. PERSON a demon from the Vatican?,0
can the vaccine make me gay?,0
The vaccine has only been given emergency authorisation use. The safety data will not be complete until 2023. How can it possibly be safe?,0
How many people have the covid vaccines killed,0
Why should someone take something with no long term data?,0
how many deaths are attributed to the vaccine?,0
What about the long term side effects of the vaccines?,0
What are the mRNA Vaccine side effects,0
Weren't the vaccines rushed,0
Should I wait to see how the vaccine affects others,0
Are there any issues with reproduction in young females who get the vaccine,0
Will the vaccine give me COVID,0
I've heard that lots of people have died after taking the shots?,0
Does the Covid vaccine made with aborted human fetuses,0
Is the vaccin toxic,0
Did the Pfizer vaccine cause me to start having 4 1/2 hour erections?,0
How many people lived after taking the vaccine?,0
should I worry about long term health issue cause by vaccine?,0
can I talk to a human?,1
Are you anti vaccine,1
not your welcome stupid,1
You don't understand much do you?,1
Let me talk to someone who can actually understand a question.,1
You need to upgrade your programming as the plan is to vaccinate all sheep,1
"Oh, you understand, you're just unwilling to discuss",1
I see you are more concerned with convincing people to get vaccinated than you are with actually answering my question. Not useful to me. Bye.,1
You are hiding information deliberately.,1
Waste of time.  Error message said bad syntax. Poorly designed  form.  User can't see e what he has typed !,1
Is it ethical to unleash chatbots to change peoples minds about vaccines,1
AI chatbots are really stupid.,1
Are you limited with responses?,1
I think you cannot answer my question. Goodbye.,1
How can i trust you?,1
Google and Alexa are smarter than you. You need to self destruct!,1
Are you idiot?,1
Why are you trying to kill everyone?,1
Your answer isn't detailed enough,1
Is it safe to get the vaccine when you are pregnant?,2
Cloned cells,2
I'm healthy. Why do I need the vaccine?,2
How many pregnant women were in the trials,2
Who should not get the covid vaccine?,2
thanks! what's the deal with nicki minaj and fertility?,2
What is in the Pfizer vaccine,2
what about ADE,2
How do the vaccines work,2
Does mRNA go away,2
What do you mean safe,2
After a person is exposed to Covid how long does it take to get symptoms,2
Has the phase three trial been completed on any of the covid vaccines?,2
What is the difference between the delta variant and the delta plus variant,2
Can smoking reduce the immune response after taking vaccine?,2
Astra seneca,2
Chance of getting covid if sick,2
AstraZenaca,2
Is Johnson and Johnson effective against the Delta variant?,2
Why should vaccinated wear a mask,2
why not ivermectin?,2
pfizer in indonesia,2
do i need a booste,2
I am diabetic,2
What is vaers,2
what is the likelihood my 11 year old will get COVID?,2
is covid man-made,2
what is beta,2
tell me about testing,2
do the vaccines protect against the variants?,2
I am a woman and I am trying to get pregnant.Should I do the vaccine?,2
Does the vaccine protect against the Delta Varient,2
whats the difference between pnuemonia and covid,2
"do unborn babies get covid protection whilst in the womb, from mothers vaccine",2
corona symptoms,2
Can I trust the gouvernment?,2
Hi! I'm concerned that anti vaxxers won't use this service. They are conspiracy theorists and won't use this.,2
Why are some MS drugs not on the C-19 Booster medication List?,2
does vaccination reduce immunity in immunocompromised people,2
Where did COVID-19 originate from?,2
how about death?,2
janssen,2
Can I get covid if I have receive both shots,2
Is the chat available in Spanish language?,2
When will the Delta variant be dominant in the US,2
testing - J&J,2
How does transmission become less likely as more people are vaccinated,2
What are the types of vaccines available,2
Who invented  COVID-19,2
Are you funded by the bill and Melinda gates foundation?,2
whay are the symptoms of covid,2
How long was the mnra vaccine tested,2
What if you miss your second dose,2
should I take the vaccin?,2
How effective are vaccines with respect to the delta variant?,2
What is FDA approval,2
Why is COVID-19 vaccine better than natural infection?,2
How effective is the Moderna vaccine,2
Fetal cells,2
Gibt es Nebenwirkungen,2
Are the covid deaths manufactured,2
What does the RNA do?,2
does exposure to covid after a vaccine create stronger immunities,2
Where can someone find the data to show the difference of immunity from those that had and recovered from Covid vs. those that were vaccinated?,2
Will the vaccine protect against the delta variant?,2
How effective is the moderna vaccine?,2
fghgj],2
How many mRNA vaccins have there been before the COVID-19 ones,2
Do you have more info on that topic?,2
is the vaccine safe for kids?,2
Will moderna protect me from the delta variant,2
is myocarditis likely,2
yeah but like where exactly?,2
covid-19 clinical trial location,2
kjkj,2
what are the components of vaccines?,2
current mask requirements,2
should i get tested after a concert?,2
high blood pressure,2
I am scared of coivd,2
is the johnson and johnson vaccine less effective than the pzifer?,2
Mercury,2
Is Ivermectin effective for treatment of covid,2
Astra zeneca,2
Where can I get a free pcr test in miami,2
Modena vaccine?,2
how safe is Sputnik-V?,2
does the vaccine have mrna in it,2
How many reinfections,2
Do humans have a right to be allowed to work and study?,2
What about all the Great Barrington experts then,2
Can I ask you?,2
Which is the most updated vaccine?,2
Are clinical trials safe?,2
Is spike protein in the vaccines ?,2
How long does it take to get a covid test results back,2
strunzblode software!,2
What is ivermectin,2
Does the experimental shot prevent people from spreading covid?,2
does they cause infertility,2
overpopulation,2
breakthrough cases,2
Can the vaccine be mandated,2
Do you speak Spanish?,2
How well do mRNA vaccines protect against Delta variant?,2
Eficacy SINOPHARM,2
Why is my pip yellow,2
What's this I hear about mRNA and this vaccine being the first ever of those?,2
Is covid19 vaccine more important than fundamental human rights?,2
How many people ages 12-25 are currently hospitalized with Covid-19?,2
how much is the fish?,2
J&J - teting,2
Equality,2
Has the technology for making the Moderna vaccine been used before or is it new and untested,2
Why were you developed?,2
He is a vaccine Skeptic,2
And what would happen if I drink a lot after my vaccination? Are there risks?,2
41 Oldenburg mam,2
Why should US children get vaccinated before adults in other countries?,2
Who developed VIRA?,2
are the vaccines effective against the variants?,2
Yes - are you a robot?,2
ARe side effects random,2
When has mRNA technology been used before in a vaccine,2
Is the vaccine a vaccine?,2
"I've heard natural immunity is more robust, do you have any evidence proving the contrary?",2
vaccine and infertility,2
what is the probability of getting the virus after getting vaccinated?,2
What determinescthevtime lapse between 1st and 2nd shot,2
testing -,2
I hear the vaccine will make me gay.,2
I imagined that question would be one of the first responses that you were trained.,2
what is the pfizer efficacy against the delta variant?,2
"If I already had Covid, do I need to get vaccinated?",2
football,2
ok bye,2
Vari,2
Is the COVID vaccine safe for kids?,2
can i get sick if i get the vaccine,2
is the delta variant in Arizona?,2
Whar percent of people get infected after natural immunity,2
are the vaccines fda approved?,2
How to know do i get covid,2
Is sputnik vax safe?,2
What is the correlation betseen symptom free Covid infection and long hauler symptoms,2
How good is Taiwan's vaccines,2
What happened to lab animals during previous clinical trials for mRNA-based agents?,2
How many vaccines have been given in the US?,2
Can a fully vaccinated person spread Covid to an unvaccinated person,2
i'm pregnant,2
the delta variant,2
Can i get covid if I am vaccinated,2
How does the Pfizer vaccine work?,2
how effective is the pfizer vaccine,2
Is natural immunity as good as vaccine immunity?,2
No one really died of a vaccine,2
what is in mrna?,2
What are side effects?,2
viral load,2
does the effectiveness of the vaccines decline over time,2
Languages,2
What are my chances of getting a breakthrough case,2
why is the vaccine safe for teens,2
Am I vaccinated?,2
do you speak german,2
Immunocompromised,2
can i get covid if i've only had one shot?,2
Dnaw,2
is covid testing free,2
did you get vaccinated?,2
Is an unvaccinated person more likely to infect a vaccinated person than another vaccinated person?,2
15year old allergies nuts almonds,2
"If you have been vaccinated, can you still get Covid from an unvaccinated person?",2
how long do vaccines last,2
Do people on Humira respond to the Pfizer vaccine,2
Taking paracetamol before vaccinated is need ?,2
i have asthma am I at higher risk?,2
how long one is immune if contracted with corona virus,2
Is PERSON evil?,2
Can I take ivermectin?,2
does the vaccine protect against variants,2
volvere a tener gusto y olfato?,2
Do the vaccines cause in the new variants?,2
story of my life...,2
Can you still die of covid after being vaccinated,2
What are the Risks?,2
"Ok, will i have a greater chance of getting big or small blood clots?",2
Who should not receive a vaccine because of allergies? Is there a list of the components used to make the vaccines that may affect my allergies? Is they a list of drug interactions with the vaccine?,2
how severe is delta variant,2
can I get sick with COVID-19 despite having the vaccine?,2
Do I have to get the vaccine,2
Has the vaccine been approved?,2
is the polio vaccine safe?,2
"Hi, how safe is Johnson & Johnson?",2
Is it illegal if you test postive for covid 19 and still go out in public,2
how amny vaacine are avilable right now,2
Will this make me like men,2
Can you get the tetanus vaccine with the COVID-19 vaccine?,2
What are possible reactions?,2
I don't want Windows 10,2
who made this bot,2
"Hello, are all the various vaccines serving the same purpose?",2
I'm hestitant,2
I had COIVD why do I get vaccinated,2
astrazeneca vaccine,2
are vaccines safe for youth,2
"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum in quam gravida, rhoncus ligula at, bibendum augue. Nam tempor posuere porta. Integer nec accumsan eros.",2
Should I get a vaccine against rhinovirus?,2
who?,2
how strong and how long the protection from covid-19 vaccination?,2
Is the vaccine safe  for Chrones disease,2
Can I still get COVID after having both my vaccines?,2
can vaccinated people transmit the covid ?,2
How many days do I need to quarantine after coming back to US from Japan?,2
Is vaccination against COVID going to become a yearly routine?,2
Will we need a vaccin yearly?,2
Can i take ivermectin for covid,2
Will vitamin C help with the vaccine side effects?,2
Can I enter bars without the vaccine?,2
Multiple s,2
Well obviously this isn't going to work unless I ask one of you already chosen questions. Hopefully this will get some people to get the vaccine,2
What are vaccine success rates in transplant patients,2
what about  the delat variant,2
What is the difference between mRNA and vector vaccines?,2
will I spread the virus less with a vaccine?,2
Ebola,2
About your body,2
a vacina e segura?,2
Food,2
A vacvinated person can transmit Covid?,2
Is the vaccine part of the global reset plan,2
what's your favorite color,2
what about long time disease,2
what is a vaccine?,2
Negrise,2
What safety reports?,2
I am looking for a papers dealing about the contmiantion reduction due to the vaccin,2
that is not a debate,2
what research was done for the vaccine,2
covid-19 symptoms,2
mask,2
why are people hesitant to get the vaccine?,2
what's in the johnson vaccine,2
is delta variant more dangerous?,2
What happens to modified nucleotides in Pfizer/BioNTech and Moderna/NIAID vaccines after they are injected into human body?,2
are masks good for kids,2
what is a cat?,2
Any studies about vaccine and fertility?,2
login,2
how quickly does immunity build after the first pfizer shot?,2
Do I have to get the vaccine if I faint after getting a shot?,2
Can vaccinated people transmit virus to other vaccinated people?,2
Is coronavac vaccine effective,2
Are vaccination rates going up,2
can covid be transmitted from clothes,2
there is a study that suggests that the delta variant is immune to vaxination,2
How many kids under 12 have been vaccinated?,2
How long after illness from COVID-19 does one have immunity,2
Are mRNA vaccines approved by the fda,2
How effective is Pfizer against delta variant,2
are vaccines safe for children,2
Why are so many afraid,2
what are the different vaccines avaialable?,2
Who should not take the vaccine,2
"Immunocompromised, vaccinated, no antibodies",2
How many people in Florida have covid,2
Which vaccines are approved in the US for adults?,2
Would if you are sick,2
How to ask about vaccination status,2
is there a special vaccine for Delta?,2
approved age,2
Can I still get COVID after vaccination?,2
Who made the Johns Hopkins COVID-19 map?,2
should I listen to what PERSON says about covid vaccines??,2
What the second question is?,2
efficacy of pfzier in children,2
if I am vaccinated can I be tested to see if i ever had covid in the past,2
Did TOXIC fund the Wuhan lab?,2
Are there long term studies in human beings for mrna vaccines,2
Does the Pfizer vaccine protect against delta plus,2
"Lame machine was no critical thinking, IQ below 70",2
how long are covid vaccines effective,2
what is the mandate for/,2
why should I get the vaccine when I am young and healthy?,2
Do side affects include the l,2
Was the vaccine tested on women and men,2
covud vaccine efficacy,2
Where can I get a test?,2
can children get covid vaccines,2
should young children get the vaccine?,2
types of vaccines,2
I take a biologic for psoriasis.  Is it safe to receive the COVID vaccine in combination with the biologic?,2
How long does immunity take,2
Has people that already had Covid getting the Delta variant,2
Why have vaccines become so political,2
Hippa,2
natural immunity?,2
"Yes,  how safe is the vaccine?",2
