,text,label,text_word_count
73,what about fertility issues with pre-pubescent girls,0,7
74,Magnets in vaccination,0,3
75,PERSON People put poison on the vaccine!,0,7
76,are booster shots ethical?,0,4
77,"this is a complete lie, they are deleting and covering up data, you are all complicit in crimes against humanity!",0,20
78,has the shot caused anyone to die?,0,7
79,Does the vaccine change my dna?,0,6
80,Are the vaccins to control our minds?,0,7
81,What are the side effects in young adults with the Pfizer   vaccine?,0,12
82,Why should i get the vaccine if my natural immunity lasts longer?,0,12
83,what are the side effect of covid vaccine?,0,8
84,what are the long term risks of getting vaccinated?,0,9
85,Why are magnets sticking to people after injection?,0,8
86,Will the vaccine impact me longterm?,0,6
87,"I am black, and I'm worried about the government using the vaccine to hurt my community",0,16
88,can covid vaccines hurt fertility,0,5
89,is the vaccine part of a depopulation agenda,0,8
90,Long term vaccine effects,0,4
91,are there fetal cells in the vaccines?,0,7
92,Why have therapeutic solutions been suppressed in favor of experimental vaccines?,0,11
93,what about vaccine side effects,0,5
94,Have long term studies been done on how the vaccine can impact fertility?,0,13
95,Does vaccination cause dizziness?,0,4
96,How many vaccinated people have died due to covid,0,9
97,what about side effects,0,4
98,Why is the 2nd shot worse?,0,6
99,Have you read the NEJM study which shows 18% of mRNA vaccinated women spontaneously abort?,0,15
100,The vaccines are too new,0,5
101,I heard a kid died recently from getting the vaccine,0,10
102,will the vaccine give me COVID,0,6
103,"When will they come out with the long term side effects, not months but years",0,15
104,is the vaccine made with poop?,0,6
105,What percentage of those dying of covid presently in U.S. are vaccinated?,0,12
106,Does the vaccine have chips?,0,5
107,I lost a loved one who took the vaccine,0,9
108,Are there magnets in the vaccine?,0,6
109,Is there metal in the vaccine,0,6
110,Will the vaccine hurt me,0,5
111,I'm scared the vaccine will hurt,0,6
112,The vaccines are depopulation tools,0,5
113,do MRNA vaccines cause heart problems,0,6
114,Are you worried about all the adverse reactions due to the covid vaccine?,0,13
115,Are vaccines approved by FDA?,0,5
116,Why do retards want to be experimented on in this way?,0,11
117,Why does the vaccine have graphene particles in it?,0,9
118,does the vaccine cause heart inflammation,0,6
119,are there microchips in the vaccines?,0,6
120,I have nerve problems after receiving the vaccine.  What should I do?,0,12
121,Why do young adult men Surfer from heart issues after vaccination,0,11
122,How many people have died from the Pfizer vaccine?,0,9
123,How many people has the vaccine murdered?,0,7
124,Will the vaccine give me magnetic powers?,0,7
125,getting sick with covid is safer than the vaccine,0,9
126,Why get vaccinated if breakthrough corona virusses exist. Doesn't that imply the vaccine does not work.,0,16
127,Does the jab alter receivers DNA?,0,6
128,What are the most serious side effects of covid-19 vaccine?,0,10
129,does the vaccine cause COVID,0,5
130,If the vaccine is safe then why did my grandmother die 2 hours after taking it?,0,16
131,Has the vaccine been approved,0,5
132,why is there no long term data on mRna vaccines,0,10
133,Can you die from vaccine,0,5
134,Can the vaccine cause blindness,0,5
135,"If I have heart problems, is the vaccine safe.  Wouldn't taking ivermectin be better.",0,14
136,how do we know the vaccine is safe,0,8
137,Who's gonna take the responsability if the vaccine makes me sick?,0,11
138,why should a 20 year old be vaccinated,0,8
139,the vaccine hasn't been tested long enough,0,7
140,the vaccine was created so fast,0,6
141,Can vaccine cause cancer,0,4
142,can i die from a covid vaccine?,0,7
143,Does the vaccine put the devil in you?,0,8
144,Do the vaccines contain fetal cells?,0,6
145,why is the vaccine fake,0,5
146,Does Covid vaccination cause infertility?,0,5
147,I had a reaction to the vaccine I don't want another shot,0,12
148,How many deaths from covid vaccines?,0,6
149,How dangerous is vaccine?,0,4
150,are microchips inside,0,3
151,the vaccine was developed too quickly,0,6
152,"I have heard people have died of the vaccine, is this true?",0,12
153,What makes these vaccines different to the swine flue vaccine that took a year to discover adverse reactions?,0,18
154,Is the vaccine about population control?,0,6
155,will the vaccine make me sick?,0,6
156,We don't know enough about long term effects,0,8
157,Why should I trust Jewish vaccines?,0,6
158,What is the rate of severe side effects to the vaccine?,0,11
159,The U.S. government forced black populations into recieving fake vaccines that were actually cultures of Syphilis.,0,16
160,Does the vaccine have embryo in it?,0,7
161,Does the vaccine lower fertility?,0,5
162,Will civic vaccine cause fertility problems?,0,6
163,what are the long-term effects of the covid vaccine?,0,9
164,will i get a chip,0,5
165,could i die after getting the covid vaccine,0,8
166,i refuse to get the vaccine,0,6
167,What are the downsides to getting the vaccine?,0,8
168,How do we know the vaccine is safe,0,8
169,are side effects worse afetr the second shot?,0,8
170,What are some possible side effects of COVID-19 vaccines for children younger than 12?,0,14
171,Have their been any long-term studies of the safety of this totally new class of genetic vaccines that have never before been approved for use in humans?,0,27
172,"Well, i think vaccines are bad for my body... is it true?",0,12
173,I think they rushed the vaccines,0,6
174,can the vaccines cause asthma?,0,5
175,Why there are aluminum nanoparticles in the vaccine?,0,8
176,"Hello! Can you please indicate if post vaccination have there been any further side effects such as blood clotting after 3 months, and shortens life expectancy  by causing rare heart attack?",0,31
177,How many deaths from the vaccines ?,0,7
178,People I know are sick with covid even after getting vaccinated,0,11
179,is the vaccine safe not to wear a mask?,0,9
180,Which of the vaccines have the least side effects,0,9
181,are there animal products in the vaccines?,0,7
182,Will a magnet stick to my arm after I get the second injection?,0,13
183,how dangerous are the new J&J side effects?,0,8
184,"hey, I heard vaccines lead to infertility.  what's up with that?",0,11
185,Do vaccines have tiny eansey microchips in them,0,8
186,I am scared to get the vaccine because it is not fully FDA approved,0,14
187,Will covid vaccine make me grow more fingers,0,8
188,Do covid vaccine deaths get reported,0,6
189,the vaccine doesnt work,0,4
190,Are vaccines a hoax?,0,4
191,how many death for vaccine in Italy,0,7
192,whos liable if injuries accure,0,5
193,does the vaccine contain fetal tissue,0,6
194,is a covid 19 vaccinated pepole will die in the next five years beacuse of the vaccine it self?,0,19
195,Is the vaccine true that Pfizer had multiple scandals in the past?,0,12
196,How many people have died from the mRNA vaccine in the USA?,0,12
197,"Sorry I didn't get that. You said that, if I'm vaccinated I can't get COVID-19, why is it still possible to infect other people?",0,24
198,Are the elderly still dying from covid if vaccinated?,0,9
199,will the vaccine change my DNA,0,6
200,Will I become magnetic after a vaccine,0,7
201,Is the vaccine a Killing mass at least?,0,8
202,But I heard that I can get bad symptoms from the vaccine and get sick?,0,15
203,I know people planning to have children who won't get vaccinated because of their concerns about its impact on their fertility and dna.  I don't hear much to combat this widespread rumor.,0,32
204,will The COVID-19 vaccine will alter my DNA.,0,8
205,Side effect of the pfizer vaccine - more frequent migraine headaches?,0,11
206,"I don't want to get the vaccine, why should I?",0,10
207,Does the vaccine cause heart attack?,0,6
208,What ar the long term side effects of the vaccine,0,10
209,I'm afraid to get the vaccine,0,6
210,J&J is made from embryos,0,5
211,What are the most serious side effects found in the vaccine trials,0,12
212,How many fatal adverse reactions to the vaccines?,0,8
213,can i get sick from the vaccine,0,7
214,What are the potential neurological side effects of the vaccine?,0,10
215,Why do I experience side effects from the vaccine?,0,9
216,The pfizer vaccine raised by NT-pro-BNP levels.  My chest is in pain.  I am reporting an adverse event.  no one will help me.  what can i do?,0,27
217,What are the long term affects,0,6
218,Can I hold the vaccine makers responsible if I experience death side effects,0,13
219,Is it true that COVID-19 was caused by PERSON laptop?,0,10
220,Why is the covid vaccine given despite the lack of FDA approval,0,12
221,How many adverse reactions from COVID-19 vaccine,0,7
222,Can the vaccine make me infertile?,0,6
223,"there have been m ore than 113 deaths from the covid vaccines, why are you lying about that",0,18
224,Yrah right noone can tell the side effects and that is bills business,0,13
225,does Pfizer cause ovarian cancer,0,5
226,will I get a microchip?,0,5
227,Eyes pain after AstraZeneca,0,4
228,Has there been myocarditis linked to covid vaccines,0,8
229,Will the vaccine make me blue?,0,6
230,What are side effects of the vaccine,0,7
231,why are healthcare professionals not getting the covid vaccine,0,9
232,Does the vaccine enlarge my tongue?,0,6
233,isn't the vaccine dangerous,0,4
234,could getting the vaccine kill me,0,6
235,what are the serious side effects of the vaccine,0,9
236,What are common side effects of the vaccine,0,8
237,Has the vaccine been adequately tested?,0,6
238,How do we know the vaccine doesn't cause infertility,0,9
239,does the vaccine make me infertile?,0,6
240,Will the vaccine give me coronavirus?,0,6
241,Is the COVID-19 vaccine dangerous?,0,5
242,What are the side effects of the Covid vaccine?,0,9
243,Why are vaccinated women 83% more likely to have a miscarriage?,0,11
244,I'm scared to take the vaccine,0,6
245,will the vaccine change my dna?,0,6
246,"Why is the creator of the mRNA technique warning us against the so-called covid ""vaccine"" ?",0,16
247,I think you are lying. People have died from heart attacks after getting the vaccine.,0,15
248,covid vaccines cause spike proteins to circulate in the blood stream,0,11
249,what about PERSON demages,0,4
250,Is this a leaky vaccine?,0,5
251,What are the side effects of the vaccine for teens?,0,10
252,Can you tell me about Covid 19 vaccine and those suffering with Demylenating disease?,0,14
253,why vaccinated people are getting sick again,0,7
254,the vaccine is a hoax,0,5
255,Does the jab have mind control in the vaccine,0,9
256,what are conditions that would allow for medical exemption from vaccination?,0,11
257,I'm scared of getting the vaccine,0,6
258,Isn't it true that the vaccines could have unknown side effects which will not manifest for years,0,17
259,If I have an immune system why do I need the vaccine,0,12
260,can the vaccines kill?,0,4
261,does the vaccine have microchips,0,5
262,I'm concerned about the safety of the vaccine for my children,0,11
263,"My friend died after thanking the vaccine, should I still take the vaccine?",0,13
264,How many boys are having heart problems with the vaccine,0,10
265,does the vaccine have metal in it?,0,7
266,Has anyone died from COVID vaccine?,0,6
267,can i get covid from the vaccine,0,7
268,what do i do if i am injured by a covid vaccine,0,12
269,What are the potential severe side effects of the Covid vaccine,0,11
270,can i become impotent because of the vaccine,0,8
271,does the vaccine cause autism lol,0,6
272,Does the vaccine contain fetal cells,0,6
273,Does the Covid 19 Vaccine cause inflammation in the blood?,0,10
274,Does the vaccine put a tracker in my arm,0,9
275,side effects for teens,0,4
276,Does the vaccination effect my ability to have children?,0,9
277,how many people have died from the covid vaccine,0,9
278,Will the vaccine give me blood clots?,0,7
279,Why is moderna vaccine ingredient list intentionally left blank?,0,9
280,Are the vaccines cytotoxic,0,4
281,Why have i become paralyzed after taking a covid-19  vaccine?,0,10
282,what are the risks to be vaccinated ?,0,8
283,Will the vaccine cause autism?,0,5
284,Is the vaccination safe?,0,4
285,What are the cardiology related risks for children who receive the vaccine?,0,12
286,can the vaccines make me sterile?,0,6
287,Are covid vaccines harmful?,0,4
288,do people lose eggs once vaccinated?,0,6
289,does the vaccine have a microchip?,0,6
290,How many peolle have died from the vaccine?,0,8
291,were aborted fetuses used in the development of moderna vaccine?,0,10
292,What are side effects and risks of getting the vaccine?,0,10
293,Are people dying from the vaccine?,0,6
294,The covid vaccine is not fda approved,0,7
295,How many people have died from having the vaccine,0,9
296,why no autopsy after a person died a few days after vaccination,0,12
297,how many people have died from the vaccine in the USA,0,11
298,Is vaccine bioweapon?,0,3
299,will the vaccine affect fertility,0,5
300,What are the side effects of vaccines for kids,0,9
301,Moderns vaccine deaths,0,3
302,will the vaccine impact my baby in the future?,0,9
303,How many deaths from Covid vaccines in US by brand?,0,10
304,Does the moderna vaccine cause neuropathy?,0,6
305,Could vaccines have long-term health impacts?,0,6
306,How many people died due to vaccine adverse events?,0,9
307,I head that one of the symptoms is blood clotting. Is the vaccine true?,0,14
308,"I'm healthy, why do I need a vaccine?",0,8
309,What are the heart issues with the vaccine?,0,8
310,does the vaccine contain aborted fetal cells,0,7
311,Will I die if I get the covid vaccine?,0,9
312,Vaccine and deaths,0,3
313,Did the vaccines pass animal trials,0,6
314,vaccine death charts by country,0,5
315,Is it right to try to convince others to get the vaccine??,0,12
316,My daughter is 28 years old. She does not know if she is pregnant; if she is she is planning to keep it. What are the risks of getting the COVID 19 vaccine?,0,33
317,Could the vaccine later be found to affect fertility,0,9
318,Will the vaccine change my dna,0,6
319,Does the vaccine have a 5G chip in it?,0,9
320,can the vaccine make me pregnant?,0,6
321,Will the vaccine transform me into a teeny lizard man,0,10
322,Does the vaccine alter your natural immunity?,0,7
323,How do i know the vaccine wont effect me long term?,0,11
324,The vaccine does not have full approval from the FDA,0,10
325,I don't trust the vaccine. They made it too quickly,0,10
326,How many people have died since receiving vaccine,0,8
327,How many have died taking vaccine,0,6
328,How can I be sure I won't have side effects 10 years from now?,0,14
329,Why did the vaccine cause my miscarriage?,0,7
330,What are the side effects of covid vaccines,0,8
331,how do we know which effects it will have in time range of 10 years?,0,15
332,What are the blood clot rates for vaccines,0,8
333,Is Pfizer going to change my DNA,0,7
334,"Worldwide, what percentage of covid vaccinated persons die as the result of vaccine side-effects?",0,14
335,Does Covid 19 vaccine make me gay?,0,7
336,I don't want to get the vaccine,0,7
337,Will the vaccine hurt me?,0,5
338,Are vaccines dangerous,0,3
339,I read online that the vaccine is dangerous.,0,8
340,How many people have died because they received a Covid-19 vaccine?,0,11
341,will i be blind from the vaccine,0,7
342,What Are the proven side effects of MRNA vaccines,0,9
343,How many vaccinated people have died,0,6
344,Why are keys sticking to my vaccinated parents  forehead,0,9
345,where to find the latest statistics about deaths caused for covid vaccines,0,12
346,Are the booster shots dangerous?,0,5
347,Risk of heart inflammation with Covid vaccination in teens,0,9
348,"just because people GOT the shot, it doesn't mean they're safe",0,11
349,Isn't the vaccine experimental?,0,4
350,What side effects does the vaccine have?,0,7
351,How and why is science claiming the vaccine is safe when it has only been approved for emergency use by the FDA?,0,22
352,does the vaccine cause autism?,0,5
353,can i get a swollen heart from a vaxxie,0,9
354,Why are vaccinated people hospitalized at a higher rate for delta variant than unvaccinated people?,0,15
355,Why are so many women reporting heart palpitations  for several weeks after getting the covid vaccine,0,16
356,What are the side effect?,0,5
357,My side effect was like I was having an MS relapse.,0,11
358,What are the side effects of mRNA vaccines?,0,8
359,pfizer side effects,0,3
360,Will they put a microchip in me?,0,7
361,How many people have died as a result of getting one of the Covid-19 vaccines?,0,15
362,People die getting the vaccine,0,5
363,"How many people died consecutively to a covid ""vaccine"" injection ?",0,11
364,Why should I take a vaccine?,0,6
365,Why are teens developing myocarditis after the vaccine?,0,8
366,Does the vaccine have carbon nanotubes?,0,6
367,Does the vaccine cause anaphylaxis?,0,5
368,why was the vaccine developed so fast,0,7
369,Is the vaccine true that there are death,0,8
370,Why are so many more people dying from covid vaccines than other vaccines,0,13
371,I'm concerned about covid vaccines.,0,5
372,But I think that I have a lower than 1% mortality rate. Why should I get the vaccine?,0,18
373,How many miscarriages have occurred due to administering the covid vaccine,0,11
374,Is the vaccine hurting people?,0,5
375,Does PERSON contain fetal cells,0,5
376,what is the incidence of myocarditis after second COVID vaccine in males age 1-30?,0,14
377,"if i die, who can my family sue?",0,8
378,vaccination causes  blood clot,0,4
379,How many people did the vaccine kill?,0,7
380,Does the vacine make me magnetic?,0,6
381,Does the vaccine implant chips,0,5
382,What are long term side effects,0,6
383,Why is the government letting the vaccine companies get away with murder?,0,12
384,Is there a computer chip in vaccine,0,7
385,what about my firends who were vaccinated but still got covid?,0,11
386,The COVID vaccines are experimental,0,5
387,how many people have died from the vaccine,0,8
388,will the vaccine hurt my heart?,0,6
389,How many people have had problems with the vaccine?,0,9
390,do covid-19 vaccines contain graphene oxide?,0,6
391,Extreme adverse effects of vaccines,0,5
392,Can the vaccine make me sick,0,6
393,the vaccine is bad,0,4
394,Do people die?,0,3
395,Why are so many people dying following the covid vaccines,0,10
396,Deaths due to vaccination?,0,4
397,Hi chatbot! What are the known long-term side effects of the COVID-19 vaccines?,0,13
398,"Over 5000 veers deaths so far, how many to call it a failure?",0,13
399,vaccines hurt,0,2
400,how can i trust the millions that didnt look into it and no one knowing the long term effects??,0,19
401,will the vaccine make me infertile,0,6
402,I am concerned of side effects,0,6
403,Does the covid 19 vaccine cause Myocarditis?,0,7
404,Can a person die from the vaccine?,0,7
405,Do the vaccines cause infertility?,0,5
406,What problems do kids have with the vaccine,0,8
407,If I have already had Covid why do I need the vaccine?,0,12
408,Why should i take the vaccine when i have a 99.997% chance of survival?,0,14
409,Does the vaccine cause neurological problems,0,6
410,Can I sue pfizer if I have a negative reaction,0,10
411,Is PERSON wrong about vaccinations causing mutations?,0,7
412,Does vaccination cause allergies?,0,4
413,Has anyone died from the covid vaccine?,0,7
414,do vaccines cause hear problems?,0,5
415,Does Pfizer vaccine cause pregnant women to spontaneously abort their babies?,0,11
416,How many deaths have happened due to this vaccine,0,9
417,Are there any long term risks with Pfizer?,0,8
418,Why should I get an experimental vaccine if I am young fit and healthy ?,0,15
419,Are you sure the vaccine will not kill me?,0,9
420,It's vaccine deadly?,0,3
421,What is the vaccine death rate,0,6
422,I'd rather have my immune system do the work in protecting me from COvID,0,14
423,What are the severe effects of moderna?,0,7
424,whos liable if i am injured from the vaccine,0,9
425,will the vaccine affect my nerves,0,6
426,can the vaccine give me AIDs?,0,6
427,Is Dr. PERSON a demon from the Vatican?,0,8
428,can the vaccine make me gay?,0,6
429,The vaccine has only been given emergency authorisation use. The safety data will not be complete until 2023. How can it possibly be safe?,0,24
430,How many people have the covid vaccines killed,0,8
431,Why should someone take something with no long term data?,0,10
432,how many deaths are attributed to the vaccine?,0,8
433,What about the long term side effects of the vaccines?,0,10
434,What are the mRNA Vaccine side effects,0,7
435,Weren't the vaccines rushed,0,4
436,Should I wait to see how the vaccine affects others,0,10
437,Are there any issues with reproduction in young females who get the vaccine,0,13
438,Will the vaccine give me COVID,0,6
439,I've heard that lots of people have died after taking the shots?,0,12
440,Does the Covid vaccine made with aborted human fetuses,0,9
441,Is the vaccin toxic,0,4
442,Did the Pfizer vaccine cause me to start having 4 1/2 hour erections?,0,13
443,How many people lived after taking the vaccine?,0,8
444,should I worry about long term health issue cause by vaccine?,0,11
445,can I talk to a human?,1,6
446,Are you anti vaccine,1,4
447,not your welcome stupid,1,4
448,You don't understand much do you?,1,6
449,Let me talk to someone who can actually understand a question.,1,11
450,You need to upgrade your programming as the plan is to vaccinate all sheep,1,14
451,"Oh, you understand, you're just unwilling to discuss",1,8
452,I see you are more concerned with convincing people to get vaccinated than you are with actually answering my question. Not useful to me. Bye.,1,25
453,You are hiding information deliberately.,1,5
454,Waste of time.  Error message said bad syntax. Poorly designed  form.  User can't see e what he has typed !,1,20
455,Is it ethical to unleash chatbots to change peoples minds about vaccines,1,12
456,AI chatbots are really stupid.,1,5
457,Are you limited with responses?,1,5
458,I think you cannot answer my question. Goodbye.,1,8
459,How can i trust you?,1,5
460,Google and Alexa are smarter than you. You need to self destruct!,1,12
461,Are you idiot?,1,3
462,Why are you trying to kill everyone?,1,7
463,Your answer isn't detailed enough,1,5
464,Is it safe to get the vaccine when you are pregnant?,2,11
465,Cloned cells,2,2
466,I'm healthy. Why do I need the vaccine?,2,8
467,How many pregnant women were in the trials,2,8
468,Who should not get the covid vaccine?,2,7
469,thanks! what's the deal with nicki minaj and fertility?,2,9
470,What is in the Pfizer vaccine,2,6
471,what about ADE,2,3
472,How do the vaccines work,2,5
473,Does mRNA go away,2,4
474,What do you mean safe,2,5
475,After a person is exposed to Covid how long does it take to get symptoms,2,15
476,Has the phase three trial been completed on any of the covid vaccines?,2,13
477,What is the difference between the delta variant and the delta plus variant,2,13
478,Can smoking reduce the immune response after taking vaccine?,2,9
479,Astra seneca,2,2
480,Chance of getting covid if sick,2,6
481,AstraZenaca,2,1
482,Is Johnson and Johnson effective against the Delta variant?,2,9
483,Why should vaccinated wear a mask,2,6
484,why not ivermectin?,2,3
485,pfizer in indonesia,2,3
486,do i need a booste,2,5
487,I am diabetic,2,3
488,What is vaers,2,3
489,what is the likelihood my 11 year old will get COVID?,2,11
490,is covid man-made,2,3
491,what is beta,2,3
492,tell me about testing,2,4
493,do the vaccines protect against the variants?,2,7
494,I am a woman and I am trying to get pregnant.Should I do the vaccine?,2,15
495,Does the vaccine protect against the Delta Varient,2,8
496,whats the difference between pnuemonia and covid,2,7
497,"do unborn babies get covid protection whilst in the womb, from mothers vaccine",2,13
498,corona symptoms,2,2
499,Can I trust the gouvernment?,2,5
500,Hi! I'm concerned that anti vaxxers won't use this service. They are conspiracy theorists and won't use this.,2,18
501,Why are some MS drugs not on the C-19 Booster medication List?,2,12
502,does vaccination reduce immunity in immunocompromised people,2,7
503,Where did COVID-19 originate from?,2,5
504,how about death?,2,3
505,janssen,2,1
506,Can I get covid if I have receive both shots,2,10
507,Is the chat available in Spanish language?,2,7
508,When will the Delta variant be dominant in the US,2,10
509,testing - J&J,2,3
510,How does transmission become less likely as more people are vaccinated,2,11
511,What are the types of vaccines available,2,7
512,Who invented  COVID-19,2,3
513,Are you funded by the bill and Melinda gates foundation?,2,10
514,whay are the symptoms of covid,2,6
515,How long was the mnra vaccine tested,2,7
516,What if you miss your second dose,2,7
517,should I take the vaccin?,2,5
518,How effective are vaccines with respect to the delta variant?,2,10
519,What is FDA approval,2,4
520,Why is COVID-19 vaccine better than natural infection?,2,8
521,How effective is the Moderna vaccine,2,6
522,Fetal cells,2,2
523,Gibt es Nebenwirkungen,2,3
524,Are the covid deaths manufactured,2,5
525,What does the RNA do?,2,5
526,does exposure to covid after a vaccine create stronger immunities,2,10
527,Where can someone find the data to show the difference of immunity from those that had and recovered from Covid vs. those that were vaccinated?,2,25
528,Will the vaccine protect against the delta variant?,2,8
529,How effective is the moderna vaccine?,2,6
530,fghgj],2,1
531,How many mRNA vaccins have there been before the COVID-19 ones,2,11
532,Do you have more info on that topic?,2,8
533,is the vaccine safe for kids?,2,6
534,Will moderna protect me from the delta variant,2,8
535,is myocarditis likely,2,3
536,yeah but like where exactly?,2,5
537,covid-19 clinical trial location,2,4
538,kjkj,2,1
539,what are the components of vaccines?,2,6
540,current mask requirements,2,3
541,should i get tested after a concert?,2,7
542,high blood pressure,2,3
543,I am scared of coivd,2,5
544,is the johnson and johnson vaccine less effective than the pzifer?,2,11
545,Mercury,2,1
546,Is Ivermectin effective for treatment of covid,2,7
547,Astra zeneca,2,2
548,Where can I get a free pcr test in miami,2,10
549,Modena vaccine?,2,2
550,how safe is Sputnik-V?,2,4
551,does the vaccine have mrna in it,2,7
552,How many reinfections,2,3
553,Do humans have a right to be allowed to work and study?,2,12
554,What about all the Great Barrington experts then,2,8
555,Can I ask you?,2,4
556,Which is the most updated vaccine?,2,6
557,Are clinical trials safe?,2,4
558,Is spike protein in the vaccines ?,2,7
559,How long does it take to get a covid test results back,2,12
560,strunzblode software!,2,2
561,What is ivermectin,2,3
562,Does the experimental shot prevent people from spreading covid?,2,9
563,does they cause infertility,2,4
564,overpopulation,2,1
565,breakthrough cases,2,2
566,Can the vaccine be mandated,2,5
567,Do you speak Spanish?,2,4
568,How well do mRNA vaccines protect against Delta variant?,2,9
569,Eficacy SINOPHARM,2,2
570,Why is my pip yellow,2,5
571,What's this I hear about mRNA and this vaccine being the first ever of those?,2,15
572,Is covid19 vaccine more important than fundamental human rights?,2,9
573,How many people ages 12-25 are currently hospitalized with Covid-19?,2,10
574,how much is the fish?,2,5
575,J&J - teting,2,3
576,Equality,2,1
577,Has the technology for making the Moderna vaccine been used before or is it new and untested,2,17
578,Why were you developed?,2,4
579,He is a vaccine Skeptic,2,5
580,And what would happen if I drink a lot after my vaccination? Are there risks?,2,15
581,41 Oldenburg mam,2,3
582,Why should US children get vaccinated before adults in other countries?,2,11
583,Who developed VIRA?,2,3
584,are the vaccines effective against the variants?,2,7
585,Yes - are you a robot?,2,6
586,ARe side effects random,2,4
587,When has mRNA technology been used before in a vaccine,2,10
588,Is the vaccine a vaccine?,2,5
589,"I've heard natural immunity is more robust, do you have any evidence proving the contrary?",2,15
590,vaccine and infertility,2,3
591,what is the probability of getting the virus after getting vaccinated?,2,11
592,What determinescthevtime lapse between 1st and 2nd shot,2,8
593,testing -,2,2
594,I hear the vaccine will make me gay.,2,8
595,I imagined that question would be one of the first responses that you were trained.,2,15
596,what is the pfizer efficacy against the delta variant?,2,9
597,"If I already had Covid, do I need to get vaccinated?",2,11
598,football,2,1
599,ok bye,2,2
600,Vari,2,1
601,Is the COVID vaccine safe for kids?,2,7
602,can i get sick if i get the vaccine,2,9
603,is the delta variant in Arizona?,2,6
604,Whar percent of people get infected after natural immunity,2,9
605,are the vaccines fda approved?,2,5
606,How to know do i get covid,2,7
607,Is sputnik vax safe?,2,4
608,What is the correlation betseen symptom free Covid infection and long hauler symptoms,2,13
609,How good is Taiwan's vaccines,2,5
610,What happened to lab animals during previous clinical trials for mRNA-based agents?,2,12
611,How many vaccines have been given in the US?,2,9
612,Can a fully vaccinated person spread Covid to an unvaccinated person,2,11
613,i'm pregnant,2,2
614,the delta variant,2,3
